data,concelho,confirmados_14,confirmados_1,incidencia,incidencia_categoria,incidencia_risco,tendencia_incidencia,tendencia_categoria,tendencia_desc,casos_14dias,ars,distrito,dicofre,area,population,population_65_69,population_70_74,population_75_79,population_80_84,population_85_mais,population_80_mais,population_75_mais,population_70_mais,population_65_mais,densidade_populacional,densidade_1,densidade_2,densidade_3
11-11-2020,ABRANTES,142,10,404.0,"Acima de 240,0 ",Muito elevada,,,,,,SANTARÉM,1401,71469.08,35130,2473,2213,1730,1748,2021,3769,5499,7712,10185,49.15,14.25,10.79,7.69
11-11-2020,ÁGUEDA,206,15,447.0,"Acima de 240,0 ",Muito elevada,,,,,,AVEIRO,0101,33527.44,46075,3237,2713,2090,1635,1496,3131,5221,7934,11171,137.43,33.32,23.66,15.57
11-11-2020,AGUIAR DA BEIRA,8,1,172.0,"Entre 120,0 e 239,9",Elevada,,,,,,GUARDA,0901,20676.57,4652,304,281,235,239,148,387,622,903,1207,22.5,5.84,4.37,3.01
11-11-2020,ALANDROAL,4,0,80.0,"Entre 60,0 e 119,9",Moderada,,,,,,ÉVORA,0701,54267.81,4992,307,256,296,299,377,676,972,1228,1535,9.2,2.83,2.26,1.79
11-11-2020,ALBERGARIA-A-VELHA,109,8,451.0,"Acima de 240,0 ",Muito elevada,,,,,,AVEIRO,0102,15882.5,24144,1550,1298,996,687,680,1367,2363,3661,5211,152.02,32.81,23.05,14.88
11-11-2020,ALBUFEIRA,118,8,284.0,"Acima de 240,0 ",Muito elevada,,,,,,FARO,0801,14066.42,41528,2067,1717,1425,985,858,1843,3268,4985,7052,295.24,50.14,35.44,23.23
11-11-2020,ALCÁCER DO SAL,32,2,274.0,"Acima de 240,0 ",Muito elevada,,,,,,SETÚBAL,1501,149987.3,11659,884,814,623,623,602,1225,1848,2662,3546,7.77,2.36,1.77,1.23
11-11-2020,ALCANENA,43,3,336.0,"Acima de 240,0 ",Muito elevada,,,,,,SANTARÉM,1402,12732.86,12809,891,744,628,536,588,1124,1752,2496,3387,100.6,26.6,19.6,13.76
11-11-2020,ALCOBAÇA,96,7,179.0,"Entre 120,0 e 239,9",Elevada,,,,,,LEIRIA,1001,40814.09,53555,3420,2927,2466,2059,1676,3735,6201,9128,12548,131.22,30.74,22.36,15.19
11-11-2020,ALCOCHETE,39,3,197.0,"Entre 120,0 e 239,9",Elevada,,,,,,SETÚBAL,1502,12836.48,19787,857,834,691,476,447,923,1614,2448,3305,154.15,25.75,19.07,12.57
11-11-2020,ALCOUTIM,2,0,93.0,"Entre 60,0 e 119,9",Moderada,,,,,,FARO,0802,57536.33,2159,191,188,163,190,267,457,620,808,999,3.75,1.74,1.4,1.08
11-11-2020,ALENQUER,187,13,424.0,"Acima de 240,0 ",Muito elevada,,,,,,LISBOA,1101,30421.92,44052,2298,2062,1629,1330,1155,2485,4114,6176,8474,144.8,27.85,20.3,13.52
11-11-2020,ALFÂNDEGA DA FÉ,21,2,462.0,"Acima de 240,0 ",Muito elevada,,,,,,BRAGANÇA,0401,32194.64,4550,325,277,301,274,325,599,900,1177,1502,14.13,4.67,3.66,2.8
11-11-2020,ALIJÓ,51,4,480.0,"Acima de 240,0 ",Muito elevada,,,,,,VILA REAL,1701,29759.89,10625,766,687,635,542,666,1208,1843,2530,3296,35.7,11.08,8.5,6.19
11-11-2020,ALJEZUR,1,0,18.0,"Abaixo de 20,0",Muito baixa,,,,,,FARO,0803,32349.95,5594,316,336,335,320,410,730,1065,1401,1717,17.29,5.31,4.33,3.29
11-11-2020,ALJUSTREL,20,1,243.0,"Acima de 240,0 ",Muito elevada,,,,,,BEJA,0201,45847.41,8247,635,521,443,347,358,705,1148,1669,2304,17.99,5.03,3.64,2.5
11-11-2020,ALMADA,823,59,487.0,"Acima de 240,0 ",Muito elevada,,,,,,SETÚBAL,1503,7000.89,169039,10469,9777,7876,6144,5111,11255,19131,28908,39377,2414.5,562.45,412.91,273.26
